"camis","dba","boro","cuisine_description","inspection_date","action","critical_flag","score","grade","inspection_type","violation_description"
"50125337","MI CASITA PAISA","Queens","Latin American","2025-03-18T00:00:00.000","Violations were cited in the following area(s).","Critical","48","C","Cycle Inspection / Re-inspection","Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor."
"50143734","MOTHERS SEAFOOD & MORE","Brooklyn","Soul Food","2026-03-30T00:00:00.000","Violations were cited in the following area(s).","Critical","24","B","Cycle Inspection / Re-inspection","Food Protection Certificate (FPC) not held by manager or supervisor of food operations."
"50092545","CARIBBEAN RESTAURANT & SPORTS BAR","Queens","Caribbean","2024-06-27T00:00:00.000","Violations were cited in the following area(s).","Critical","32",,"Cycle Inspection / Initial Inspection","Food Protection Certificate (FPC) not held by manager or supervisor of food operations."
"50005944","THE MOONLIGHT MILE","Brooklyn","American","2026-05-27T00:00:00.000","Violations were cited in the following area(s).","Critical","12","A","Cycle Inspection / Initial Inspection","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred."
"50001697","THE SWEET SHOP NYC","Manhattan","American","2025-03-25T00:00:00.000","Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.","Critical","91",,"Cycle Inspection / Initial Inspection","Evidence of mice or live mice in establishment's food or non-food areas."
"50034497","750 MYRTLE DINER","Brooklyn","Japanese","2023-11-14T00:00:00.000","Violations were cited in the following area(s).","Not Critical","50",,"Cycle Inspection / Initial Inspection","Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of."
"41654217","M&J NAVY YARD SUB SHOPPE","Brooklyn","Sandwiches","2022-12-21T00:00:00.000","Violations were cited in the following area(s).","Not Critical","9","A","Cycle Inspection / Re-inspection","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests."
"50077587","WYCKOFF RESTAURANT","Brooklyn","Mexican","2023-04-13T00:00:00.000","Violations were cited in the following area(s).","Critical","21",,"Cycle Inspection / Initial Inspection","Live roaches in facility's food or non-food area."
"41627123","WALTER'S / KARASU","Brooklyn","American","2022-07-19T00:00:00.000","Violations were cited in the following area(s).","Not Critical","49",,"Cycle Inspection / Initial Inspection","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit."
"50070149","TEXAS CHICKEN & BURGER","Brooklyn","Chicken","2024-03-20T00:00:00.000","Violations were cited in the following area(s).","Not Critical","59",,"Cycle Inspection / Initial Inspection","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests."
